canonical_latin_name,slug,russian_common_name,aliases_abbreviations,source_file,source_section_heading,ru_source_exists,en_source_exists,needs_translation,candidate_status,notes
"Lac Humanum","lac-humanum","материнское молоко","LAC HUMANUM; материнское молоко","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","LAC HUMANUM Препарат, который создается на основе материнского молока","yes","no","yes","confirmed","Russian wording is copied from the source heading."
"Lac Asinum","lac-asinum","Ослиное молоко","LAC ASINUM; Lac ac.; Ослиное молоко","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","LAC ASINUM (Lac ac.) Ослиное молоко","yes","no","yes","confirmed","Source abbreviation Lac ac. is retained."
"Kali Carbonicum","kali-carbonicum","","KALI CARBONICUM; Kali Carbonicum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","KALI CARBONICUM","yes","no","yes","confirmed","Canonical spelling follows the source label."
"Cenchris Contortrix","cenchris-contortrix","Медноголовая змея","CENCHRIS CONTORTRIX; Медноголовая змея","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","CENCHRIS CONTORTRIX (Медноголовая змея)","yes","no","yes","confirmed","Source spelling is retained pending owner decision."
"Testosteronum","testosteronum","Тестостерон","Testosteronum; Тестостерон; Тестостеронум","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Начинаю работать с препаратом гомеопатии на основе тестостерона - Testosteronum","yes","no","yes","confirmed","Two later source headings are recorded as duplicates."
"Oophorinum","oophorinum","","OOPHORINUM; Oophorinum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","🧪 OOPHORINUM Гормональный гомеопатический препарат, который подходит женщинам","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Bach Vine","bach-vine","","BACH VINE; Vine","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH VINE","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Bach Crab Apple","bach-crab-apple","","BACH CRAB APPLE; Crab Apple","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH CRAB APPLE Имеет мягкий, очищающий и очень гармонизирующий эффект. Подходит","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Bach Oak","bach-oak","","BACH OAK; Oak","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH OAK","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Bach Hornbeam","bach-hornbeam","","BACH HORNBEAM; Hornbeam","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH HORNBEAM","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Bach Wild Oat","bach-wild-oat","","BACH WILD OAT; Wild Oat","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH WILD OAT","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Bach Elm","bach-elm","","BACH ELM; Elm","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH ELM","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Rock Rose","rock-rose","","ROCK ROSE","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат ROCK ROSE","yes","no","yes","confirmed","Source heading omits a Bach prefix; none was added."
"Star of Bethlehem","star-of-bethlehem","","STAR OF BETHLEHEM","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат STAR OF BETHLEHEM","yes","no","yes","confirmed","Source heading omits a Bach prefix; none was added."
"Bach Sweet Chestnut","bach-sweet-chestnut","","BACH SWEET CHESTNUT; Sweet Chestnut","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH SWEET CHESTNUT","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Bach Cerato","bach-cerato","","BACH CERATO; Cerato","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат BACH CERATO","yes","no","yes","confirmed","Source heading includes Bach prefix."
"Natrum Muriaticum","natrum-muriaticum","","NATRUM MURIATICUM; Natrum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","NATRUM MURIATICUM Этот препарат помогает в случаях, когда сердце иссыхается внутри от","yes","no","yes","duplicate","Duplicate of natrum-muriaticum; retained for heading traceability."
"Sulphur","sulphur","сера","SULPHUR; Мудрец","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","SULPHUR (Мудрец)","yes","no","yes","duplicate","Duplicate of sulphur; retained for heading traceability."
"Sulphur","sulphur","","Sulphur","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Традиционно считается, Sulphur применяется при избытке огня, хаоса в организме","yes","no","yes","duplicate","Duplicate of sulphur; retained for heading traceability."
"Sulphur","sulphur","","Sulphur; Мудрец огня","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Sulphur — Мудрец огня","yes","no","yes","duplicate","Duplicate of sulphur; retained for heading traceability."
"Kalium Sulphuricum","kalium-sulphuricum","","Kalium sulphuricum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Kalium sulphuricum —","yes","no","yes","duplicate","Duplicate of kalium-sulphuricum; retained for heading traceability."
"Baryta Carbonica","baryta-carbonica","","BARYTA CARBONICA","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","BARYTA CARBONICA препарат работает с чувством бессилия и беспомощности","yes","no","yes","duplicate","Duplicate of baryta-carbonica; retained for heading traceability."
"Testosteronum","testosteronum","Тестостерон","Testosteronum; Тестостерон","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","♂️ Testosteronum (Тестостерон)","yes","no","yes","duplicate","Duplicate of testosteronum; retained for heading traceability."
"Testosteronum","testosteronum","Тестостеронум","Тестостеронум; Testosteronum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Тестостеронум - хороший препарат. Если подобрать нужную дозу, он значительно активирует","yes","no","yes","duplicate","Duplicate of testosteronum; retained for heading traceability."
"","","","Х-рей; Северный Полюс","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препараты Х-рей, Северный Полюс","yes","no","no","grouped","Grouped source heading: no individual canonical records are inferred."
"Nitricum Acidum","nitricum-acidum","Азотная кислота","Nitricum Acidum","data/telegram-psychic-alchemy-index.csv","message162","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Arnica","arnica","","Arnica","data/telegram-psychic-alchemy-index.csv","message168","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Phosphoricum Acidum","phosphoricum-acidum","","Phosphoricum Acidum","data/telegram-psychic-alchemy-index.csv","message169","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Kalium Arsenicosum","kalium-arsenicosum","","Kalium Arsenicosum","data/telegram-psychic-alchemy-index.csv","message222","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Spongia Tosta","spongia-tosta","Морская губка","Spongia Tosta","data/telegram-psychic-alchemy-index.csv","message230","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Lycopodium","lycopodium","","Lycopodium","data/telegram-psychic-alchemy-index.csv","message240","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Carbo Vegetables","carbo-vegetables","","Carbo Vegetables","data/telegram-psychic-alchemy-index.csv","message244","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Sepia","sepia","","Sepia","data/telegram-psychic-alchemy-index.csv","message247","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Staphysagria","staphysagria","","Staphysagria","data/telegram-psychic-alchemy-index.csv","message277","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Secale Cornutum","secale-cornutum","","Secale Cornutum","data/telegram-psychic-alchemy-index.csv","message285","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Hypericum Perforatum","hypericum-perforatum","","Hypericum Perforatum","data/telegram-psychic-alchemy-index.csv","message294","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Carbo Animalis","carbo-animalis","","Carbo Animalis","data/telegram-psychic-alchemy-index.csv","message317","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Apis","apis","пчелиный яд","Apis","data/telegram-psychic-alchemy-index.csv","message387","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Silicea","silicea","кремень","Silicea","data/telegram-psychic-alchemy-index.csv","message390","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Natrum Carbonicum","natrum-carbonicum","сода","Natrum Carbonicum","data/telegram-psychic-alchemy-index.csv","message398","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Magnesia Phosphorica","magnesia-phosphorica","","Magnesia Phosphorica","data/telegram-psychic-alchemy-index.csv","message408","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Bryonia","bryonia","","Bryonia","data/telegram-psychic-alchemy-index.csv","message417","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Ruta Graveolens","ruta-graveolens","Рута душистая","Ruta Graveolens","data/telegram-psychic-alchemy-index.csv","message425","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Natrum Sulfuricum","natrum-sulfuricum","Сульфат натрия, глауберова соль","Natrum Sulfuricum","data/telegram-psychic-alchemy-index.csv","message449","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Alumina","alumina","Оксид алюминия","Alumina","data/telegram-psychic-alchemy-index.csv","message450","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Thuja","thuja","Туя западная","Thuja","data/telegram-psychic-alchemy-index.csv","message452","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Psorinum","psorinum","","Psorinum","data/telegram-psychic-alchemy-index.csv","message470","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Magnesium Muriaticum","magnesium-muriaticum","","Magnesium Muriaticum","data/telegram-psychic-alchemy-index.csv","message487","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Borax","borax","","Borax","data/telegram-psychic-alchemy-index.csv","message496","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Cinchona","cinchona","хинна","Cinchona","data/telegram-psychic-alchemy-index.csv","message565","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Mercurious Solubilis","mercurious-solubilis","ртуть","Mercurious Solubilis","data/telegram-psychic-alchemy-index.csv","message570","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Phytolacca Decandra","phytolacca-decandra","Фитолакка","Phytolacca Decandra","data/telegram-psychic-alchemy-index.csv","message575","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Kali Muriaticum","kali-muriaticum","","Kali Muriaticum","data/telegram-psychic-alchemy-index.csv","message601","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Hydrogenium","hydrogenium","водород","Hydrogenium","data/telegram-psychic-alchemy-index.csv","message606","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Teucrium","teucrium","чабрец","Teucrium","data/telegram-psychic-alchemy-index.csv","message609","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Coccus Cacti","coccus-cacti","","Coccus Cacti","data/telegram-psychic-alchemy-index.csv","message614","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Camphora","camphora","камфора","Camphora","data/telegram-psychic-alchemy-index.csv","message622","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Platina Metallicum","platina-metallicum","","Platina Metallicum","data/telegram-psychic-alchemy-index.csv","message667","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Baptisia Tinctoria","baptisia-tinctoria","","Baptisia Tinctoria","data/telegram-psychic-alchemy-index.csv","message670","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Sanguinaria Canadensis","sanguinaria-canadensis","Сангвинария, кровавый корень","Sanguinaria Canadensis","data/telegram-psychic-alchemy-index.csv","message678","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Veratrum Album","veratrum-album","","Veratrum Album","data/telegram-psychic-alchemy-index.csv","message680","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Hydrastis Canadensis","hydrastis-canadensis","Гидрастис, Золотарник канадский","Hydrastis Canadensis","data/telegram-psychic-alchemy-index.csv","message681","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Cobaltum Metallicum","cobaltum-metallicum","Кобальт","Cobaltum Metallicum","data/telegram-psychic-alchemy-index.csv","message682","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Kalium Iodatum","kalium-iodatum","Иодистый калий","Kalium Iodatum","data/telegram-psychic-alchemy-index.csv","message696","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Colchicum Autumnale","colchicum-autumnale","Безвременник","Colchicum Autumnale","data/telegram-psychic-alchemy-index.csv","message704","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Cocculus Indicus","cocculus-indicus","Коккулюс, ядовитая лиана из Индии","Cocculus Indicus","data/telegram-psychic-alchemy-index.csv","message725","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Aethusa Cynapium","aethusa-cynapium","Собачья петрушка","Aethusa Cynapium","data/telegram-psychic-alchemy-index.csv","message733","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Beryllium Metallicum","beryllium-metallicum","Бериллий / бериллий металл","Beryllium Metallicum","data/telegram-psychic-alchemy-index.csv","message735","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Bovista Lycoperdon","bovista-lycoperdon","гриб пылевик","Bovista Lycoperdon","data/telegram-psychic-alchemy-index.csv","message737","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Bothrops Lanceolatus","bothrops-lanceolatus","Ботропс, копьеголовая змея","Bothrops Lanceolatus","data/telegram-psychic-alchemy-index.csv","message749","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Ambra Grisea","ambra-grisea","","Ambra Grisea","data/telegram-psychic-alchemy-index.csv","message751","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Folliculinum","folliculinum","Женский половой гармон экстраген","Folliculinum","data/telegram-psychic-alchemy-index.csv","message755","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Helleborus Niger","helleborus-niger","Черный морозник","Helleborus Niger","data/telegram-psychic-alchemy-index.csv","message760","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Magnesium Carbonicum","magnesium-carbonicum","","Magnesium Carbonicum","data/telegram-psychic-alchemy-index.csv","message802","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Saccharum Officinale","saccharum-officinale","Тростниковый сахар","Saccharum Officinale","data/telegram-psychic-alchemy-index.csv","message806","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Cyclamen Europaeum","cyclamen-europaeum","Цикламен / альпийская фиалка","Cyclamen Europaeum","data/telegram-psychic-alchemy-index.csv","message819","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Syzygiun Jambolanum","syzygiun-jambolanum","Джамболан, восточная слива","Syzygiun Jambolanum","data/telegram-psychic-alchemy-index.csv","message826","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Rock Water","rock-water","","Rock Water","data/telegram-psychic-alchemy-index.csv","message848","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Saccharum Lactis","saccharum-lactis","Молочный сахар","Saccharum Lactis","data/telegram-psychic-alchemy-index.csv","message1025","yes","no","yes","proposed_full_card","Telegram full-card proposal. Author spelling is preserved; this row does not create a public page before review."
"Aurum / Aurum Metallicum","","золото","Аурум; Aurum; Aurum Metallicum","data/telegram-psychic-alchemy-index.csv","message37","yes","no","yes","needs_resolution","Full-card source exists, but the export uses inconsistent name forms. All related primary posts are retained; no canonical slug or public page is proposed pending author decision."
"Carsinosinum / Carcinosinum","","","Carsinosinum; Carcinosinum","data/telegram-psychic-alchemy-index.csv","message429; message1053","yes","no","yes","needs_resolution","Full-card source exists, but the export uses inconsistent name forms. All related primary posts are retained; no canonical slug or public page is proposed pending author decision."
"Aconitum","aconitum","","Aconitum","data/telegram-psychic-alchemy-index.csv","message34; message47; message48","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Medorrhinum","medorrhinum","","Medorrhinum","data/telegram-psychic-alchemy-index.csv","message67; message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Aqua Marina","aqua-marina","","Aqua Marina","data/telegram-psychic-alchemy-index.csv","message194","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Luna","luna","","Luna","data/telegram-psychic-alchemy-index.csv","message194","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Anandamide","anandamide","","Anandamide","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Cineraria","cineraria","","Cineraria","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Amniotic Fluid","amniotic-fluid","","Amniotic Fluid","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Placenta","placenta","","Placenta","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Lac Amnioticum","lac-amnioticum","","Lac Amnioticum","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Aquamarinus","aquamarinus","","Aquamarinus","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Lac Caninum","lac-caninum","","Lac Caninum","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Berberis","berberis","","Berberis","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Plumbum Metallicum","plumbum-metallicum","","Plumbum Metallicum","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Helium","helium","","Helium","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Dolphin Milk","dolphin-milk","","Dolphin Milk","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Crocus Sativus","crocus-sativus","","Crocus Sativus","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Tuberculinum","tuberculinum","","Tuberculinum","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Moschus","moschus","","Moschus","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Anacardium","anacardium","","Anacardium","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
"Magnesium Sulphiricum","magnesium-sulphiricum","","Magnesium Sulphiricum","data/telegram-psychic-alchemy-index.csv","message757","yes","no","yes","mention_only","Explicit Telegram mention only; no standalone source card was found, so no public page is proposed."
